2023-04-11 00:00:00 |INFO  |pool-2-thread-1 |TimetableController.java:115 |xyz.likailing.cloud.service.manager.controller.TimetableController |没有需要更新的信息
2023-04-11 00:00:04 |INFO  |pool-2-thread-2 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:01:04 |INFO  |pool-2-thread-2 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:02:04 |INFO  |pool-2-thread-2 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:03:04 |INFO  |pool-2-thread-2 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:04:04 |INFO  |pool-2-thread-2 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:05:04 |INFO  |pool-2-thread-2 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:06:04 |INFO  |pool-2-thread-1 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:07:04 |INFO  |pool-2-thread-1 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:08:04 |INFO  |pool-2-thread-1 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:09:04 |INFO  |pool-2-thread-1 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:10:04 |INFO  |pool-2-thread-1 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
2023-04-11 00:11:04 |INFO  |pool-2-thread-1 |CourseHomeworkController.java:202 |xyz.likailing.cloud.service.manager.controller.CourseHomeworkController |没有需要更新的过期信息
